Latitude,Longitude,"Time
(UTC)","Seconds
(UTC)","Wind
Speed
350 hPa
(knots)","Wind
Speed
300 hPa
(knots)","Wind
Speed
250 hPa
(knots)","Wind
Speed
200 hPa
(knots)","Wind
Speed
150 hPa
(knots)","Wind
From
350 hPa
(degT)","Wind
From
300 hPa
(degT)","Wind
From
250 hPa
(degT)","Wind
From
200 hPa
(degT)","Wind
From
150 hPa
(degT)"
-36,97,2019-03-09 18:00:00,64800,54.3070632796989,56.7406176258687,59.0266552379253,55.6713804785525,54.4016059276064,249.683985967356,252.247850460666,256.284097009334,259.945664400006,251.888752701998
-36,97,2019-03-09 21:00:00,75600,53.9065614446279,56.7183045631639,58.6751319523759,54.6234137392716,50.1063388794325,246.855666837097,249.329041618184,249.643900465705,261.610381546575,250.510646673556
-36,97,2019-03-09 00:00:00,86400,52.1877901515157,51.9122951475922,53.7827030828997,57.1847201982798,51.8048233259114,245.344101255918,242.091575420524,246.121614861549,258.231711067979,249.116841455469
-36,97,2019-06-28 03:00:00,97200,54.8756630314799,56.505389496215,56.9440277886899,59.6408744024689,51.2205790132734,249.253919724317,243.434948822922,246.673001410184,255.46554491946,253.009176708014
-36,98,2019-03-09 18:00:00,64800,54.1248131893939,57.4885230612428,61.1223965645331,60.2089946396178,56.5314628912023,253.517560226478,254.506999830693,257.510720245607,261.085073042852,256.680513712959
-36,98,2019-03-09 21:00:00,75600,55.8800354140747,58.5807136572704,60.810030136247,57.4316413175035,52.3110909177914,248.790773865777,251.625172644533,252.897271030948,262.61039545021,251.363069242293
-36,98,2019-03-09 00:00:00,86400,53.7278758365014,52.8543435106388,54.9750702493568,60.0786328918921,52.8782870749974,246.774190590768,243.340712428434,248.424311392564,260.690059825014,250.232831323208
-36,98,2019-06-28 03:00:00,97200,55.262989538862,54.5192071566082,55.153483228694,61.0806544200984,52.8961483445745,251.118930652656,246.908704828182,250.223923397361,257.688745119909,253.562931033555
-36,99,2019-03-09 18:00:00,64800,54.9241852232124,58.8008942741938,63.5919449072418,64.4963970322417,59.8584179175938,255.865394775462,254.861167149624,258.003100692076,262.553702273572,257.814276690372
-36,99,2019-03-09 21:00:00,75600,55.4469502955441,59.602215488771,62.4313103031959,60.3243568644146,54.9651032457194,251.183931879057,254.875992691689,257.04549693281,262.966583540305,252.718501628183
-36,99,2019-03-09 00:00:00,86400,55.1558810051711,54.0797660615027,56.8141553046676,62.3013531668586,54.2175829075724,248.498565675952,244.448112620244,250.201123645475,262.830637081383,251.17528998176
-36,99,2019-06-28 03:00:00,97200,55.8817258542431,52.7616833657405,54.608539259213,62.6080898520875,54.2837499259216,252.384406907131,249.962789830807,253.242151170508,259.806530912908,254.420976446249
-36,100,2019-03-09 18:00:00,64800,56.7206361892968,60.7179982558329,65.2141721108415,68.6276218222756,62.6080898520875,256.725750234208,253.827840984217,257.082187156066,263.821103422503,259.806530912908
-36,100,2019-03-09 21:00:00,75600,54.9819429922577,59.7775639783496,64.4946394536469,63.798385839336,57.1139752331813,254.83371189168,258.178511659393,261.332612820045,263.351354816731,254.402821005584
