Latitude,Longitude,"Time
(UTC)","Seconds
(UTC)","Air
Temp
350 hPa
(°C)","Air
Temp
300 hPa
(°C)","Air
Temp
250 hPa
(°C)","Air
Temp
200 hPa
(°C)","Air
Temp
150 hPa
(°C)","∂SAT
350 hPa
26,632 ft
(°K)","∂SAT
300 hPa
30,066 ft
(°K)","∂SAT
250 hPa
34,000 ft
(°K)","∂SAT
200 hPa
38,632 ft
(°K)","∂SAT
150 hPa
44,321 ft
(°K)"
14,80,2019-03-09 21:00:00,75600,-23.95,-31.35,-41.25,-52.65,-67.65,13.8133184,13.2167592,11.1108,3.84952680000004,-11.1504732
14,80,2019-03-09 00:00:00,86400,-24.15,-31.95,-41.55,-52.95,-67.75,13.6133184,12.6167592,10.8108,3.54952680000002,-11.2504732
14,80,2019-06-28 03:00:00,97200,-23.75,-31.95,-41.85,-53.45,-67.75,14.0133184,12.6167592,10.5108,3.04952680000002,-11.2504732
14,81,2019-03-09 18:00:00,64800,-23.65,-31.35,-41.25,-53.05,-67.15,14.1133184,13.2167592,11.1108,3.44952680000003,-10.6504732
14,81,2019-03-09 21:00:00,75600,-23.65,-31.25,-41.45,-52.65,-67.95,14.1133184,13.3167592,10.9108,3.84952680000004,-11.4504732
14,81,2019-03-09 00:00:00,86400,-23.75,-31.95,-42.05,-53.05,-67.65,14.0133184,12.6167592,10.3108,3.44952680000003,-11.1504732
14,81,2019-06-28 03:00:00,97200,-23.85,-32.05,-42.35,-53.25,-68.05,13.9133184,12.5167592,10.0108,3.24952680000004,-11.5504732
14,82,2019-03-09 18:00:00,64800,-23.55,-30.75,-41.45,-53.15,-67.05,14.2133184,13.8167592,10.9108,3.34952680000004,-10.5504732
14,82,2019-03-09 21:00:00,75600,-23.45,-31.15,-41.35,-52.95,-67.95,14.3133184,13.4167592,11.0108,3.54952680000002,-11.4504732
14,82,2019-03-09 00:00:00,86400,-23.75,-31.95,-42.05,-53.05,-67.85,14.0133184,12.6167592,10.3108,3.44952680000003,-11.3504732
14,82,2019-06-28 03:00:00,97200,-23.85,-32.15,-42.25,-52.95,-68.05,13.9133184,12.4167592,10.1108,3.54952680000002,-11.5504732
14,83,2019-03-09 18:00:00,64800,-23.55,-30.35,-41.55,-53.15,-66.55,14.2133184,14.2167592,10.8108,3.34952680000004,-10.0504732
14,83,2019-03-09 21:00:00,75600,-23.45,-30.95,-41.35,-53.05,-67.45,14.3133184,13.6167592,11.0108,3.44952680000003,-10.9504732
14,83,2019-03-09 00:00:00,86400,-23.85,-32.05,-42.05,-53.05,-67.75,13.9133184,12.5167592,10.3108,3.44952680000003,-11.2504732
14,83,2019-06-28 03:00:00,97200,-24.05,-32.35,-41.95,-53.25,-67.75,13.7133184,12.2167592,10.4108,3.24952680000004,-11.2504732
14,84,2019-03-09 18:00:00,64800,-23.45,-30.35,-41.55,-53.15,-66.15,14.3133184,14.2167592,10.8108,3.34952680000004,-9.65047319999996
14,84,2019-03-09 21:00:00,75600,-23.45,-30.75,-41.45,-53.25,-66.95,14.3133184,13.8167592,10.9108,3.24952680000004,-10.4504732
14,84,2019-03-09 00:00:00,86400,-23.95,-31.85,-41.65,-53.25,-67.65,13.8133184,12.7167592,10.7108,3.24952680000004,-11.1504732
14,84,2019-06-28 03:00:00,97200,-23.95,-32.35,-42.35,-52.85,-67.55,13.8133184,12.2167592,10.0108,3.64952680000005,-11.0504732
14,85,2019-03-09 18:00:00,64800,-23.25,-30.45,-41.45,-53.15,-66.15,14.5133184,14.1167592,10.9108,3.34952680000004,-9.65047319999996
14,85,2019-03-09 21:00:00,75600,-23.45,-30.65,-41.45,-53.65,-66.55,14.3133184,13.9167592,10.9108,2.84952680000004,-10.0504732
14,85,2019-03-09 00:00:00,86400,-23.85,-31.55,-41.65,-53.45,-67.25,13.9133184,13.0167592,10.7108,3.04952680000002,-10.7504732
14,85,2019-06-28 03:00:00,97200,-23.95,-31.95,-42.35,-53.25,-67.05,13.8133184,12.6167592,10.0108,3.24952680000004,-10.5504732
14,86,2019-03-09 18:00:00,64800,-22.95,-30.55,-41.25,-53.15,-66.45,14.8133184,14.0167592,11.1108,3.34952680000004,-9.95047319999998
14,86,2019-03-09 21:00:00,75600,-23.45,-30.85,-41.45,-53.75,-66.45,14.3133184,13.7167592,10.9108,2.74952680000004,-9.95047319999998
14,86,2019-03-09 00:00:00,86400,-23.85,-31.25,-41.55,-53.65,-66.85,13.9133184,13.3167592,10.8108,2.84952680000004,-10.3504732
14,86,2019-06-28 03:00:00,97200,-23.95,-31.75,-42.05,-53.45,-67.05,13.8133184,12.8167592,10.3108,3.04952680000002,-10.5504732
14,87,2019-03-09 18:00:00,64800,-22.95,-30.65,-41.05,-53.25,-67.05,14.8133184,13.9167592,11.3108,3.24952680000004,-10.5504732
14,87,2019-03-09 21:00:00,75600,-23.55,-31.15,-41.55,-53.35,-66.75,14.2133184,13.4167592,10.8108,3.14952680000005,-10.2504732
14,87,2019-03-09 00:00:00,86400,-23.85,-31.25,-41.65,-53.45,-66.75,13.9133184,13.3167592,10.7108,3.04952680000002,-10.2504732
14,87,2019-06-28 03:00:00,97200,-23.95,-31.65,-41.65,-53.35,-67.05,13.8133184,12.9167592,10.7108,3.14952680000005,-10.5504732
14,88,2019-03-09 18:00:00,64800,-22.95,-30.85,-41.25,-53.25,-66.85,14.8133184,13.7167592,11.1108,3.24952680000004,-10.3504732
14,88,2019-03-09 21:00:00,75600,-23.65,-31.15,-41.75,-53.05,-67.05,14.1133184,13.4167592,10.6108,3.44952680000003,-10.5504732
14,88,2019-03-09 00:00:00,86400,-23.75,-31.25,-41.95,-52.95,-66.65,14.0133184,13.3167592,10.4108,3.54952680000002,-10.1504732
14,88,2019-06-28 03:00:00,97200,-23.75,-31.35,-41.75,-53.25,-66.75,14.0133184,13.2167592,10.6108,3.24952680000004,-10.2504732
14,89,2019-03-09 18:00:00,64800,-22.85,-30.95,-41.45,-53.55,-66.15,14.9133184,13.6167592,10.9108,2.94952680000003,-9.65047319999996
14,89,2019-03-09 21:00:00,75600,-23.45,-31.15,-41.75,-53.15,-66.55,14.3133184,13.4167592,10.6108,3.34952680000004,-10.0504732
14,89,2019-03-09 00:00:00,86400,-23.65,-31.25,-42.05,-52.55,-66.75,14.1133184,13.3167592,10.3108,3.94952680000003,-10.2504732
14,89,2019-06-28 03:00:00,97200,-23.55,-31.15,-41.95,-53.05,-66.75,14.2133184,13.4167592,10.4108,3.44952680000003,-10.2504732
14,90,2019-03-09 18:00:00,64800,-22.85,-31.05,-41.55,-53.75,-65.65,14.9133184,13.5167592,10.8108,2.74952680000004,-9.15047319999996
14,90,2019-03-09 21:00:00,75600,-23.25,-31.05,-41.55,-53.45,-66.35,14.5133184,13.5167592,10.8108,3.04952680000002,-9.85047319999995
14,90,2019-03-09 00:00:00,86400,-23.55,-31.25,-41.65,-52.85,-66.75,14.2133184,13.3167592,10.7108,3.64952680000005,-10.2504732
14,90,2019-06-28 03:00:00,97200,-23.45,-31.15,-41.95,-52.85,-67.05,14.3133184,13.4167592,10.4108,3.64952680000005,-10.5504732
14,91,2019-03-09 18:00:00,64800,-22.95,-31.05,-41.35,-53.85,-65.85,14.8133184,13.5167592,11.0108,2.64952680000005,-9.35047319999995
14,91,2019-03-09 21:00:00,75600,-23.15,-30.95,-41.25,-53.65,-66.15,14.6133184,13.6167592,11.1108,2.84952680000004,-9.65047319999996
14,91,2019-03-09 00:00:00,86400,-23.45,-31.25,-41.25,-53.35,-66.45,14.3133184,13.3167592,11.1108,3.14952680000005,-9.95047319999998
14,91,2019-06-28 03:00:00,97200,-23.45,-31.35,-41.45,-53.25,-66.95,14.3133184,13.2167592,10.9108,3.24952680000004,-10.4504732
14,92,2019-03-09 18:00:00,64800,-22.95,-31.15,-41.25,-53.65,-66.15,14.8133184,13.4167592,11.1108,2.84952680000004,-9.65047319999996
14,92,2019-03-09 21:00:00,75600,-22.95,-30.95,-41.15,-53.75,-66.15,14.8133184,13.6167592,11.2108,2.74952680000004,-9.65047319999996
14,92,2019-03-09 00:00:00,86400,-23.25,-31.15,-41.25,-53.35,-66.25,14.5133184,13.4167592,11.1108,3.14952680000005,-9.75047319999996
14,92,2019-06-28 03:00:00,97200,-23.65,-31.45,-41.15,-53.05,-66.75,14.1133184,13.1167592,11.2108,3.44952680000003,-10.2504732
14,93,2019-03-09 18:00:00,64800,-22.55,-31.15,-41.15,-53.65,-66.25,15.2133184,13.4167592,11.2108,2.84952680000004,-9.75047319999996
14,93,2019-03-09 21:00:00,75600,-22.65,-30.95,-41.05,-53.55,-66.75,15.1133184,13.6167592,11.3108,2.94952680000003,-10.2504732
14,93,2019-03-09 00:00:00,86400,-23.25,-30.95,-41.15,-53.45,-66.35,14.5133184,13.6167592,11.2108,3.04952680000002,-9.85047319999995
14,93,2019-06-28 03:00:00,97200,-23.75,-31.35,-41.05,-52.85,-66.85,14.0133184,13.2167592,11.3108,3.64952680000005,-10.3504732
14,94,2019-03-09 18:00:00,64800,-22.15,-31.05,-41.15,-53.75,-65.65,15.6133184,13.5167592,11.2108,2.74952680000004,-9.15047319999996
