time,band,tx_sign,tx_lat,tx_lon,rx_sign,rx_lat,rx_lon,frequency,snr,drift,power,distance,snr_z,drift_z
2014-03-08 00:40:00,14,AA7FV,32.271,-110.708,WA3DNM,39.521,-74.958,14.097148,-10,0,33,3289,,
2014-03-08 00:44:00,14,AA7FV,32.271,-110.708,K6CCA,37.146,-121.625,14.097149,9,0,33,1135,,
2014-03-08 00:44:00,14,AA7FV,32.271,-110.708,AF6CH,39.021,-119.875,14.097141,8,1,33,1117,,
2014-03-07 22:44:00,21,AD4PT,32.979,-97.125,NN6RF,37.938,-122.292,21.096099,-22,0,37,2337,,
2014-03-07 22:46:00,14,AD4PT,32.979,-97.125,K6CCA,37.146,-121.625,14.097147,-5,0,37,2271,,
2014-03-07 22:46:00,14,AD4PT,32.979,-97.125,K7FET,45.521,-122.958,14.097152,-19,0,37,2608,,
2014-03-07 22:46:00,14,AD4PT,32.979,-97.125,AE9RB,45.479,-122.625,14.097142,-23,0,37,2582,,
2014-03-07 22:46:00,14,AD4PT,32.979,-97.125,W7ZWW,45.312,-122.542,14.097131,-12,0,37,2569,,
2014-03-07 22:46:00,14,AD4PT,32.979,-97.125,WQ7Q,47.521,-122.958,14.097164,-11,0,37,2706,,
2014-03-07 22:46:00,14,AD4PT,32.979,-97.125,AF5ES,35.812,-106.208,14.097151,5,0,37,891,,
2014-03-07 22:46:00,14,AD4PT,32.979,-97.125,K7UEB/20,46.062,-118.375,14.097154,-14,0,37,2319,,
2014-03-07 22:46:00,14,AD4PT,32.979,-97.125,VE7ENP,49.896,-119.458,14.097093,-9,0,37,2627,,
2014-03-07 22:46:00,14,AD4PT,32.979,-97.125,W4AC,26.521,-82.958,14.097169,0,0,37,1538,,
2014-03-07 22:46:00,14,AD4PT,32.979,-97.125,W4MO,27.521,-82.958,14.097186,-1,0,37,1483,,
2014-03-07 22:46:00,14,AD4PT,32.979,-97.125,AI4RY,32.604,-85.458,14.097152,-2,0,37,1091,,
2014-03-07 22:46:00,14,AD4PT,32.979,-97.125,KB1MVX,33.521,-84.958,14.09714,-13,0,37,1125,,
2014-03-07 22:46:00,14,AD4PT,32.979,-97.125,K9AN,40.104,-88.125,14.097147,-6,0,37,1128,,
2014-03-07 22:46:00,14,AD4PT,32.979,-97.125,W9HLY,40.812,-84.958,14.097147,-6,0,37,1387,,
2014-03-07 22:46:00,14,AD4PT,32.979,-97.125,K4RCG,38.479,-78.042,14.097158,-4,0,37,1824,,
2014-03-07 22:46:00,14,AD4PT,32.979,-97.125,VE1AIM,44.771,-63.708,14.097153,-14,0,37,3147,,
2014-03-07 22:46:00,14,AD4PT,32.979,-97.125,G4DND,50.521,-2.958,14.097148,-20,0,37,7511,,
2014-03-07 22:46:00,14,AD4PT,32.979,-97.125,2E0DSS,52.479,-2.042,14.097146,-19,0,37,7480,,
2014-03-07 22:46:00,14,AD4PT,32.979,-97.125,2E1CJF,53.479,-2.542,14.097153,-24,0,37,7403,,
2014-03-07 22:46:00,14,AD4PT,32.979,-97.125,HB9JOI,46.938,8.458,14.097188,-28,0,37,8438,,
2014-03-07 22:46:00,14,AD4PT,32.979,-97.125,DK6UG,49.521,8.208,14.097145,-12,0,37,8265,,
2014-03-07 22:46:00,14,AD4PT,32.979,-97.125,ON4SAR,51.188,4.208,14.097175,-28,0,37,7927,,
2014-03-07 22:46:00,14,AD4PT,32.979,-97.125,OZ7IT,55.229,12.292,14.097149,-9,0,37,8146,,
2014-03-07 22:46:00,14,AD4PT,32.979,-97.125,4X1RF,32.771,34.958,14.097146,-26,0,37,11148,,
